["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.9034441777777778e+14 4.7545841151620055e-01 -9.7052110034372081e+00
1.9095061019108281e+14 5.1566372496085566e-01 -1.1167642152946916e+01
1.9156067603833866e+14 5.3992051912093786e-01 -1.2523377402921664e+01
1.9217465256410256e+14 5.6846056776926979e-01 -1.3886377071511758e+01
1.9279257749196144e+14 5.8304738124076583e-01 -1.5185906706988598e+01
1.9341448903225806e+14 5.8936665265026411e-01 -1.6405791457340069e+01
1.9404042588996762e+14 5.9591970279461748e-01 -1.7549653769412359e+01
1.9467042727272725e+14 5.5302434333195383e-01 -1.8566113370376470e+01
1.9530453289902281e+14 5.1450789791659202e-01 -1.9595214556924109e+01
1.9594278300653594e+14 4.9701491923484148e-01 -2.0502118531700724e+01
1.9658521836065575e+14 4.6188355306956175e-01 -2.1307913703974720e+01
1.9723188026315788e+14 4.4012521875567939e-01 -2.2138402856072233e+01
1.9788281056105609e+14 4.6552570658587406e-01 -2.2695992615444400e+01
1.9853805165562916e+14 3.7864265958904153e-01 -2.3154953366109371e+01
1.9919764651162791e+14 2.8812309851547319e-01 -2.3670793080458257e+01
1.9986163866666666e+14 2.2405790672985246e-01 -2.4571959771345110e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.8737028625000000e+14 2.8562050115655430e-01 -9.3988378390478133e-01
1.8795765391849531e+14 3.9849621009316211e-01 -2.9138088676091365e+00
1.8854871572327044e+14 4.1093684956634863e-01 -4.9393651134420615e+00
1.8914350662460569e+14 4.2548191504447574e-01 -6.6985361173425186e+00
1.8974206202531647e+14 4.6464270200308844e-01 -8.2164726673369408e+00
1.9034441777777778e+14 4.7545842482797768e-01 -9.7052109715704198e+00
1.9095061019108281e+14 5.1566373451658176e-01 -1.1167642105615524e+01
1.9156067603833866e+14 5.3992052803954926e-01 -1.2523377363909347e+01
1.9217465256410256e+14 5.6846058759695894e-01 -1.3886377059046854e+01
1.9279257749196144e+14 5.8304739384311188e-01 -1.5185906677167225e+01
1.9341448903225806e+14 5.8936662752425772e-01 -1.6405791441121348e+01
1.9404042588996762e+14 5.9591975857639645e-01 -1.7549653789778446e+01
1.9467042727272725e+14 5.5302431459707801e-01 -1.8566113392400911e+01
1.9530453289902281e+14 5.1450789599111479e-01 -1.9595214579030010e+01
1.9594278300653594e+14 4.9701494896715004e-01 -2.0502118424655823e+01
1.9658521836065575e+14 4.6188356638492928e-01 -2.1307913630710441e+01
1.9723188026315788e+14 4.4012519233148167e-01 -2.2138403019096366e+01
1.9788281056105609e+14 4.6552572959532512e-01 -2.2695992593153832e+01
1.9853805165562916e+14 3.7864264832370453e-01 -2.3154953285638395e+01
1.9919764651162791e+14 2.8812309329594099e-01 -2.3670793105218234e+01
1.9986163866666666e+14 2.2405790541653645e-01 -2.4571959802770117e+01
("port 2","mode 1",1,"port 3",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.1729277183716771e-01 1.4477545145264263e+00
1.8795765391849531e+14 4.6236834383374209e-01 -3.1918382793969086e-01
1.8854871572327044e+14 4.9215489867785067e-01 -1.9001950329234183e+00
1.8914350662460569e+14 5.1577235358992712e-01 -3.5713155295329768e+00
1.8974206202531647e+14 4.9384236203988624e-01 -5.3241879067325080e+00
1.9034441777777778e+14 4.9431372454503453e-01 -6.9451077709673008e+00
1.9095061019108281e+14 4.3849999860200400e-01 -8.4729674105097743e+00
1.9156067603833866e+14 4.0105579617999476e-01 -1.0034712398879355e+01
